Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval
A0021	333.7210	9.6603e-56	370.3680	3.5029e-63	86.8290	9.3555e-09
A0084	241.3290	2.7607e-37	226.5670	2.1596e-34	134.3700	6.0151e-17
A0085	124.2650	3.8928e-15	170.7910	1.1231e-23	35.6390	7.7257e-02
A0098	289.9240	6.2759e-47	288.1050	1.4501e-46	74.6550	7.6588e-07
A0154	214.6010	4.6168e-32	159.1220	1.7210e-21	74.1070	9.2832e-07
A0168	174.0060	2.7814e-24	193.5960	5.2072e-28	72.3820	1.6939e-06
A0399	246.6280	2.5004e-38	182.5100	6.8064e-26	77.9610	2.3729e-07
A0401	798.8750	2.0872e-152	750.2240	3.7241e-142	1161.1780	3.2380e-229
A0407	155.2500	9.0186e-21	206.8410	1.4702e-30	66.2380	1.3712e-05
A0415	192.5480	8.2685e-28	204.3870	4.3779e-30	47.8140	3.9257e-03
A0514	420.0650	2.3902e-73	363.4460	8.9943e-62	176.8520	8.0565e-25
A0629	306.4020	3.1155e-50	394.1730	4.8375e-68	192.2740	9.3288e-28
A0646	331.5210	2.6912e-55	345.6830	3.6496e-58	186.9700	9.6269e-27
A0665	328.3570	1.1735e-54	209.2790	4.9644e-31	85.5360	1.5105e-08
A0671	516.1490	3.4535e-93	322.0050	2.2484e-53	130.0200	3.6516e-16
A0690	290.5740	4.6512e-47	270.9720	3.7839e-43	115.5690	1.3285e-13
A0957_11	352.4790	1.5247e-59	306.9590	2.4083e-50	149.7750	9.2793e-20
A0957_52	85.3100	1.6416e-08	157.5220	3.4142e-21	69.8470	4.0538e-06
A1213	100.9940	4.2650e-11	102.6880	2.2039e-11	37.0520	5.7083e-02
A1291	182.1150	8.0927e-26	198.8540	5.0967e-29	144.2130	9.7530e-19
A1413	248.7150	9.6925e-39	179.6240	2.4045e-25	81.4210	6.8226e-08
A1569	303.1550	1.3990e-49	310.2750	5.1869e-51	178.8180	3.4178e-25
A1650	93.7530	6.9207e-10	132.4320	1.3457e-16	90.4290	2.4347e-09
A1656	173.3110	3.7615e-24	167.6690	4.3391e-23	57.1560	2.5476e-04
A1775	146.1510	4.3051e-19	132.4370	1.3426e-16	67.0760	1.0362e-05
A1795	243.9580	8.3925e-38	324.8970	5.8634e-54	127.6770	9.5943e-16
A1913	264.0480	8.9782e-42	276.7700	2.6531e-44	219.3790	5.4412e-33
A1983	606.7950	4.5692e-112	707.5990	3.4333e-133	367.1570	1.5796e-62
A2029	429.9850	2.1899e-75	435.7540	1.4255e-76	215.2160	3.5078e-32
A2244	406.2070	1.6636e-70	441.5710	9.0514e-78	82.9520	3.9048e-08
A2255	453.0020	3.9953e-80	428.3650	4.7141e-75	163.1850	3.0033e-22
A2256	1109.9250	2.5982e-218	783.1100	4.4024e-149	1121.5000	8.9717e-221
A2271	658.4430	7.0980e-123	766.2730	1.5541e-145	271.9670	2.3996e-43
A2328	418.3120	5.4732e-73	370.3700	3.5010e-63	171.4390	8.4792e-24
A2356	844.9330	3.9585e-162	1019.6520	3.9305e-199	365.0450	4.2516e-62
A2399	338.7120	9.4384e-57	404.4730	3.7688e-70	209.2830	4.9557e-31
A2410	272.9760	1.5108e-43	381.0770	2.2948e-65	292.1980	2.2006e-47
A2415	429.1450	3.2579e-75	563.6880	4.5040e-103	176.7150	8.5537e-25
A2420	154.6710	1.1552e-20	331.4330	2.8033e-55	97.5360	1.6259e-10
A2440	275.8370	4.0714e-44	344.7370	5.6775e-58	85.2760	1.6625e-08
A2554	259.2920	7.8708e-41	216.3290	2.1321e-32	101.8470	3.0595e-11
A2593	311.7720	2.5928e-51	301.7830	2.6381e-49	114.1480	2.3513e-13
A2597	346.2560	2.7934e-58	316.7560	2.5708e-52	214.8220	4.1838e-32
A2626	130.2420	3.3319e-16	121.0670	1.4353e-14	29.1860	2.5620e-01
A2657	226.2620	2.4770e-34	190.6760	1.8870e-27	115.9790	1.1263e-13
A2670	147.5930	2.3390e-19	191.1810	1.5107e-27	170.2180	1.4395e-23
CF2N14RF-CF113203.7+5101487	167.9380	3.8635e-23	230.8180	3.1848e-35	102.4820	2.3888e-11
