Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval
A0021	365.8004	1.0359e-68	667.4390	1.6063e-132	104.3027	1.9841e-15
A0084	241.3083	7.6260e-43	263.1747	2.3819e-47	117.8213	5.0043e-18
A0085	156.9014	1.0211e-25	264.9377	1.0299e-47	50.2976	1.0765e-05
A0098	320.6003	2.8863e-59	414.5587	6.0115e-79	119.5808	2.2822e-18
A0154	280.5061	6.1963e-51	401.8970	2.7625e-76	49.4447	1.4833e-05
A0168	247.8324	3.4695e-44	154.3436	3.3016e-25	31.4073	0.0077
A0399	191.0154	1.4122e-32	281.8880	3.2049e-51	80.5946	5.4369e-11
A0401	267.4345	3.1397e-48	284.4789	9.3077e-52	42.5837	1.8266e-04
A0407	993.2201	3.8254e-202	1033.4917	8.9079e-211	512.6462	1.1923e-99
A0415	225.9952	1.0570e-39	313.9587	6.9793e-58	44.4004	9.5164e-05
A0514	257.8900	2.9355e-46	358.6338	3.2810e-67	44.4239	9.4356e-05
A0629	481.6531	4.2770e-93	475.8711	7.1241e-92	76.9693	2.4908e-10
A0646	329.8754	3.3595e-61	500.9315	3.5910e-97	78.3739	1.3833e-10
A0665	535.2000	1.9950e-104	674.6365	4.7109e-134	89.6474	1.1540e-12
A0671	371.2516	7.4672e-70	409.4970	6.9760e-78	67.5813	1.2002e-08
A0690	388.3415	1.9431e-73	313.8994	7.1806e-58	94.0128	1.7590e-13
A0957_11	320.4475	3.1058e-59	311.5803	2.1825e-57	67.9354	1.0390e-08
A0957_52	344.2768	3.3032e-64	321.5288	1.8485e-59	95.9190	7.7039e-14
A1213	137.6155	6.7933e-22	200.0783	2.0483e-34	67.0099	1.5142e-08
A1291	159.4349	3.1882e-26	235.4377	1.2251e-41	47.7774	2.7620e-05
A1413	196.4367	1.1242e-33	289.3825	8.9524e-53	101.5377	6.6643e-15
A1569	246.6692	6.0213e-44	253.2806	2.6188e-45	56.6542	9.3926e-07
A1650	280.0781	7.5997e-51	332.4395	9.7993e-62	192.5637	6.8587e-33
A1656	115.8840	1.1860e-17	134.5787	2.6885e-21	57.2281	7.5068e-07
A1775	314.8477	4.5573e-58	224.2835	2.3686e-39	117.5480	5.6526e-18
A1795	152.0353	9.5064e-25	196.1769	1.2693e-33	39.2528	5.8742e-04
A1913	153.7828	4.2695e-25	129.5770	2.5729e-20	59.4041	3.1921e-07
A1983	288.7921	1.1870e-52	350.1442	1.9600e-65	94.9871	1.1538e-13
A2029	211.8032	8.4040e-37	304.1517	7.6629e-56	156.5795	1.1837e-25
A2244	553.5214	2.6073e-108	882.2571	2.2095e-178	150.4881	1.9298e-24
A2255	522.0975	1.1897e-101	699.6870	2.1680e-139	100.7167	9.5411e-15
A2256	398.6265	1.3444e-75	512.8582	1.0753e-99	52.1761	5.2820e-06
A2271	652.2214	2.7886e-129	750.1591	3.7348e-150	245.5895	1.0043e-43
A2328	1191.4690	1.1124e-244	996.5063	7.5576e-203	293.5039	1.2492e-53
A2356	773.5090	3.8743e-155	1183.4419	5.8920e-243	198.2618	4.7903e-34
A2399	573.9536	1.2060e-112	546.1186	9.6786e-107	75.3532	4.8880e-10
A2410	410.5962	4.0968e-78	672.8206	1.1477e-133	103.4381	2.8994e-15
A2415	298.9269	9.3405e-55	408.5797	1.0877e-77	77.5681	1.9389e-10
A2420	318.0482	9.8197e-59	352.1103	7.6039e-66	141.9742	9.3816e-23
A2440	487.6931	2.2625e-94	834.8118	3.0990e-168	95.6711	8.5781e-14
A2554	178.6015	4.5501e-30	401.8970	2.7625e-76	71.4739	2.4373e-09
A2593	306.4971	2.4925e-56	438.9972	4.2968e-84	102.2711	4.8347e-15
A2597	247.3438	4.3737e-44	252.0438	4.7094e-45	85.7501	6.1122e-12
A2626	308.8354	8.1318e-57	409.7600	6.1419e-78	58.3864	4.7667e-07
A2657	289.5132	8.4106e-53	269.7492	1.0433e-48	115.9215	1.1664e-17
A2670	148.5782	4.6207e-24	147.9547	6.1432e-24	53.8430	2.7904e-06
CF2N14RF-CF113203.7+5101487	291.2068	3.7447e-53	300.9702	3.5138e-55	121.0516	1.1827e-18
CF3N51RIBF-CF082855+3725	184.5584	2.8579e-31	228.2021	3.7328e-40	55.3054	1.5867e-06
CFDN13RF-CF145242.6+2145071	257.9523	2.8499e-46	221.7951	7.6498e-39	52.9653	3.9075e-06
CFDN14RF-CF082214.6+5206301	188.0897	5.5224e-32	199.6084	2.5519e-34	120.6657	1.4055e-18
CFDN32RBF-CF030229-0047	234.9794	1.5214e-41	276.7250	3.7596e-50	84.4380	1.0684e-11
