Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval
A0021	390.4796	9.9871e-78	354.8841	3.6623e-70	259.5033	5.4363e-50
A0084	215.7000	8.4854e-41	170.2700	2.4389e-31	112.2781	1.8512e-19
A0085	156.2039	1.9666e-28	101.8905	2.2789e-17	48.4648	5.1040e-07
A0098	161.6432	1.4835e-29	165.6177	2.2382e-30	69.0398	6.7921e-11
A0154	193.4838	3.6806e-36	103.7403	9.6978e-18	93.8535	9.1883e-16
A0168	113.3971	1.1000e-19	173.1688	6.1194e-32	89.5572	6.5557e-15
A0399	251.2934	2.9018e-48	221.6647	4.7906e-42	167.7968	7.9277e-31
A0401	1486.5547	0.0000e+00	1467.4023	2.7662e-309	1904.1063	0.0000e+00
A0407	157.4554	1.0855e-28	148.9093	6.2483e-27	104.4460	6.9978e-18
A0415	111.8667	2.2415e-19	116.4698	2.6288e-20	47.8491	6.6132e-07
A0514	285.8374	1.5261e-55	230.7049	6.1117e-44	153.6074	6.7422e-28
A0629	234.6024	9.3040e-45	229.2506	1.2333e-43	185.2231	1.9263e-34
A0646	314.4432	1.3692e-61	248.7218	1.0077e-47	221.0590	6.4151e-42
A0665	427.7122	1.1801e-85	273.2998	6.7411e-53	261.9985	1.6217e-50
A0671	407.2293	2.7220e-81	322.3575	2.8894e-63	177.3346	8.3742e-33
A0690	361.2749	1.6101e-71	327.8710	1.9628e-64	204.3880	1.9605e-38
A0957_11	544.2692	1.5093e-110	516.4552	1.3420e-104	298.3412	3.4856e-58
A0957_52	117.6995	1.4813e-20	158.1244	7.9002e-29	124.6993	5.6146e-22
A1213	169.5003	3.5202e-31	144.9532	4.0615e-26	129.0387	7.3364e-23
A1291	218.3695	2.3451e-41	247.4862	1.8326e-47	147.0771	1.4873e-26
A1413	231.6465	3.8788e-44	248.3838	1.1868e-47	178.6795	4.4041e-33
A1569	375.5962	1.4594e-74	398.1804	2.2961e-79	300.4388	1.2557e-58
A1650	99.8108	5.9461e-17	148.3980	7.9597e-27	106.2015	3.1056e-18
A1656	202.6733	4.4691e-38	281.7658	1.1040e-54	183.1888	5.0992e-34
A1775	234.6291	9.1846e-45	165.8241	2.0287e-30	96.4013	2.8543e-16
A1795	278.5272	5.3245e-54	313.3644	2.3164e-61	316.3588	5.3826e-62
A1913	610.3409	1.0711e-124	705.0438	5.1900e-145	584.7581	3.2429e-119
A1983	863.5453	4.4499e-179	1071.4860	7.3898e-224	686.3566	5.3273e-141
A2029	512.8384	7.9606e-104	397.2773	3.5741e-79	321.1378	5.2377e-63
A2244	380.3387	1.4323e-75	300.4688	1.2375e-58	137.3002	1.5054e-24
A2255	305.6976	9.7027e-60	380.8223	1.1303e-75	261.0598	2.5563e-50
A2256	1903.3939	0.0000e+00	1557.4365	0.0000e+00	1932.6446	0.0000e+00
A2271	753.4710	2.0626e-155	669.1068	2.6802e-137	365.3197	2.2272e-72
A2328	630.0925	6.2512e-129	617.9548	2.5001e-126	436.1785	1.8508e-87
A2356	2170.6441	0.0000e+00	1809.1652	0.0000e+00	2017.7801	0.0000e+00
A2399	415.7497	4.1734e-83	520.7899	1.5883e-105	224.7420	1.0862e-42
A2410	372.3046	7.3069e-74	483.3005	1.6307e-97	493.7761	9.4348e-100
A2415	436.1266	1.8986e-87	487.7851	1.7970e-98	218.3951	2.3163e-41
A2420	301.1543	8.8636e-59	380.7248	1.1856e-75	179.7895	2.5910e-33
A2440	376.0876	1.1475e-74	412.5108	2.0431e-82	175.8835	1.6746e-32
A2554	237.6518	2.1317e-45	217.3020	3.9222e-41	193.8402	3.1024e-36
A2593	185.2624	1.8904e-34	129.1558	6.9440e-23	121.1674	2.9322e-21
A2597	568.4085	1.0283e-115	473.0702	2.4937e-95	423.3136	1.0214e-84
A2626	83.2717	1.1433e-13	113.8959	8.7206e-20	49.0919	3.9182e-07
A2657	159.1019	4.9652e-29	137.0149	1.7221e-24	73.8757	7.8712e-12
A2670	147.9712	9.7415e-27	208.2054	3.1279e-39	184.7366	2.4314e-34
CF2N14RF-CF113203.7+5101487	223.4118	2.0631e-42	339.7419	5.9776e-67	235.0828	7.3768e-45
