Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval
A0021	70.6352	9.2501e-11	75.7801	9.6012e-12	37.1017	1.1080e-04
A0084	24.8630	0.0095	38.4023	6.6900e-05	38.2201	7.1818e-05
A0085	53.5245	1.4411e-07	27.5623	0.0038	17.0494	0.1064
A0098	110.9157	1.2022e-18	126.4040	9.2830e-22	95.6252	1.3070e-15
A0154	60.0450	9.0955e-09	49.8383	6.6927e-07	48.5866	1.1218e-06
A0168	31.1291	0.0011	25.2633	0.0083	31.8700	8.0024e-04
A0399	75.9514	8.9005e-12	56.9759	3.3615e-08	40.9544	2.4539e-05
A0401	123.1116	4.2844e-21	80.1933	1.3540e-12	72.6344	3.8453e-11
A0407	697.0688	2.2925e-142	618.6173	1.4562e-125	514.1294	3.1059e-103
A0415	44.2857	6.4764e-06	33.1066	5.0563e-04	8.0908	0.7051
A0514	58.5688	1.7081e-08	39.7030	4.0209e-05	52.7511	1.9923e-07
A0629	60.8652	6.4015e-09	38.5053	6.4266e-05	47.3562	1.8589e-06
A0646	139.4358	2.1214e-24	125.2825	1.5634e-21	100.8753	1.1980e-16
A0665	57.0806	3.2155e-08	77.5664	4.3522e-12	147.7852	4.2228e-26
A0671	68.3920	2.4667e-10	64.2337	1.5013e-09	81.2721	8.3712e-13
A0690	68.4949	2.3584e-10	71.5192	6.2772e-11	35.9134	1.7494e-04
A0957_11	61.4252	5.0343e-09	58.3849	1.8472e-08	34.4810	3.0166e-04
A0957_52	64.0775	1.6062e-09	63.2199	2.3258e-09	39.8732	3.7607e-05
A1213	124.0714	2.7441e-21	59.4121	1.1921e-08	49.7378	6.9766e-07
A1291	23.4592	0.0152	59.4101	1.1931e-08	24.6843	0.0101
A1413	43.5298	8.7806e-06	47.9870	1.4353e-06	37.3791	9.9533e-05
A1569	77.0944	5.3655e-12	22.8842	0.0184	37.2894	1.0305e-04
A1650	78.6414	2.7005e-12	72.3771	4.3061e-11	50.0659	6.0909e-07
A1656	57.2255	3.0238e-08	43.4720	8.9868e-06	35.5942	1.9763e-04
A1775	10.6150	0.4761	15.1619	0.1752	29.3145	0.0020
A1795	46.0779	3.1325e-06	36.3371	1.4872e-04	73.5712	2.5458e-11
A1913	45.7586	3.5669e-06	63.3593	2.1901e-09	37.1960	1.0683e-04
A1983	108.3127	3.9781e-18	131.7148	7.8270e-23	80.3960	1.2371e-12
A2029	115.9407	1.1853e-19	110.8650	1.2306e-18	38.7690	5.7981e-05
A2244	86.0908	9.6860e-14	111.1754	1.0667e-18	46.0090	3.2215e-06
A2255	39.0099	5.2769e-05	30.2555	0.0014	38.4625	6.5347e-05
A2256	119.9531	1.8529e-20	121.1495	1.0644e-20	123.8928	2.9814e-21
A2271	211.2646	3.3996e-39	150.0235	1.4741e-26	86.7564	7.1827e-14
A2328	296.3160	5.2301e-57	274.2901	2.2464e-52	113.7498	3.2579e-19
A2356	273.9625	2.6322e-52	288.6301	2.1701e-55	162.8629	3.4582e-29
A2399	69.8852	1.2846e-10	68.4975	2.3558e-10	8.7445	0.6455
A2410	203.6142	1.3223e-37	190.1835	8.0496e-35	110.5199	1.4423e-18
A2415	131.5307	8.5285e-23	137.5833	5.0483e-24	60.9796	6.0952e-09
A2420	190.2147	7.9309e-35	133.7582	3.0165e-23	106.8033	7.9533e-18
A2440	69.1702	1.7561e-10	93.3166	3.7230e-15	89.9553	1.7011e-14
A2554	60.1636	8.6453e-09	114.2684	2.5649e-19	46.0856	3.1227e-06
A2593	26.7551	0.0050	24.1527	0.0121	8.9385	0.6276
A2597	29.1056	0.0022	31.9348	7.8132e-04	32.7696	5.7335e-04
A2626	242.7520	9.1849e-46	363.6199	3.1709e-71	173.6704	2.0704e-31
A2657	53.9618	1.1995e-07	71.0710	7.6413e-11	90.4176	1.3808e-14
A2670	32.3950	6.5897e-04	49.3363	8.2356e-07	37.0123	1.1468e-04
CF2N14RF-CF113203.7+5101487	49.2361	8.5832e-07	51.6710	3.1272e-07	60.3920	7.8401e-09
CF3N51RIBF-CF082855+3725	34.6215	2.8604e-04	54.0319	1.1646e-07	8.9157	0.6297
CFDN13RF-CF145242.6+2145071	140.6780	1.1856e-24	134.0876	2.5864e-23	82.0750	5.8500e-13
CFDN14RF-CF082214.6+5206301	38.2404	7.1254e-05	42.4822	1.3362e-05	20.9659	0.0337
CFDN32RBF-CF030229-0047	96.2226	9.9642e-16	65.2460	9.6870e-10	60.8022	6.5767e-09
CFDN34RBF-CF040219-0951	74.5165	1.6780e-11	74.6329	1.5939e-11	45.7198	3.6236e-06
CFDN51RIBF-CF013254+0115	178.0855	2.5458e-32	229.0707	6.6307e-43	314.6441	7.1635e-61
CFDN52RIBF-CF0152421214	20.5350	0.0385	54.3141	1.0344e-07	70.4040	1.0236e-10
