# Name	l	b	RA	Dec	RA_hms	Dec_dms	lim_B	lim_R	lim_I	ned_B	locos_R	ned_R	ned_I	airmass
A0021	114.817021	-33.794314	5.18167	28.59310	00h20m43.6s	28:35:35.0    	23.15	22.44	20.88	0.142	0.083	0.085	0.059	1.06
A0084	119.960922	-41.412807	10.46670	21.40370	00h41m52.0s	21:24:13.4	23.46	22.68	21.44	0.113	0.066	0.067	0.047	1.02
A0085	115.223612	-72.033892	10.45670	-9.30614	00h41m49.6s	-09:18:22.1	23.12	22.41	21.37	0.137	0.082	0.082	0.057	1.45
A0098	121.331526	-42.302314	11.59540	20.55370	00h46m22.9s	20:33:13.4	22.76	22.22	na	0.163	0.090	0.097	0.068	1.32
A0154	129.534113	-44.944139	17.75920	17.67620	01h11m02.2s	17:40:34.4	23.29	22.47	21.21	0.236	0.143	0.141	0.098	1.03
A0168	135.876266	-62.597216	18.77710	-0.32186	01h15m06.5s	-00:19:18.7	22.95	22.09	21.01	0.117	0.062	0.070	0.049	1.38
A0399	164.366904	-39.463368	44.48670	13.02090	02h57m56.8s	13:01:15.2	23.36	22.22	21.51	0.617	0.367	0.369	0.256	1.25
A0401	164.198335	-38.864154	44.75170	13.57730	02h59m00.4s	13:34:38.4	23.38	22.45	21.72	0.568	0.341	0.340	0.236	1.15
A0407	150.611260	-19.942734	45.44620	35.82770	03h01m47.1s	35:49:39.8	23.17	22.26	21.26	0.703	0.422	0.420	0.292	1.02
A0415	194.201220	-54.886778	46.70710	-12.04120	03h06m49.7s	-12:02:28.5	22.95	22.43	21.54	0.221	0.131	0.132	0.092	1.46
A0514	219.466170	-35.976450	71.97790	-20.47690	04h47m54.7s	-20:28:36.7	23.19	22.38	21.48	0.190	0.114	0.114	0.079	1.70
A0629	149.380737	33.001818	123.72200	66.43790	08h14m53.3s	66:26:16.4	23.61	22.77	21.91	0.128	0.078	0.077	0.053	1.22
A0646	172.644286	34.585764	125.54000	47.10660	08h22m09.6s	47:06:23.7	23.65	22.71	21.68	0.152	0.091	0.091	0.063	1.08
A0665 	149.781954	34.680622	127.69000	65.84240	08h30m45.6s	65:50:32.8	23.79	22.53	21.25	0.167	0.100	0.100	0.069	1.23
A0671	192.746558	33.113353	127.12600	30.41940	08h28m30.3s	30:25:09.7	23.53	22.68	21.95	0.172	0.103	0.103	0.071	1.01
A0690	195.292570	34.985750	129.81700	28.84240	08h39m16.0s	28:50:32.8	23.59	22.56	21.52	0.203	0.122	0.121	0.084	1.08
A0957_11	242.925884	42.863269	153.44700	-0.91267	10h13m47.3s	-00:54:45.6	23.48	22.53	21.45	0.155	0.092	0.093	0.064	1.32
A0957_52	242.925884	42.863269	153.44700	-0.91267	10h13m47.3s	-00:54:45.6	23.23	22.43	21.53	0.155	0.092	0.093	0.064	1.25
A1213	201.499573	69.013107	169.13000	29.26930	11h16m31.1s	29:16:09.5	22.86	21.94	21.12	0.067	0.040	0.040	0.028	1.13
A1291	143.838493	57.906419	173.09600	55.89630	11h32m23.0s	55:53:46.6	23.22	22.60	21.44	0.067	0.037	0.040	0.028	1.11
A1413	226.352237	76.796789	178.85300	23.37520	11h55m24.7s	23:22:30.8	23.46	22.47	21.54	0.087	0.052	0.052	0.036	1.22
A1569	283.801761	78.904737	189.08600	16.59760	12h36m20.7s	16:35:51.5	23.38	22.64	21.60	0.104	0.062	0.062	0.043	1.13
A1650	306.742600	61.065984	194.70300	-1.75119	12h58m48.7s	-01:45:04.3	23.26	22.51	21.60	0.061	0.036	0.037	0.026	1.27
A1656	57.164027	87.883887	195.04500	27.97980	13h00m10.7s	27:58:47.4	23.02	22.23	21.13	0.030	0.021	0.018	0.012	1.14
A1775	32.524169	78.658604	205.55000	26.47670	13h42m12.1s	26:28:36.2	23.26	22.68	na	0.041	0.028	0.025	0.017	1.00
A1795	33.772147	77.180818	207.22300	26.58430	13h48m53.6s	26:35:03.5	23.09	22.41	21.18	0.048	0.029	0.029	0.020	1.21
A1913	12.513857	65.604986	216.69300	16.68050	14h26m46.3s	16:40:49.7	23.09	22.23	21.46	0.087	0.052	0.052	0.036	1.07
A1983	18.995416	60.064687	223.24300	16.74930	14h52m58.4s	16:44:57.6	23.15	22.27	21.40	0.096	0.056	0.057	0.040	1.18
A2029	6.492240	50.534683	227.75000	5.74775	15h10m59.9s	05:44:51.9	23.23	22.32	21.13	0.145	0.085	0.086	0.060	1.27
A2244	56.791215	36.299641	255.69400	34.06110	17h02m46.6s	34:03:39.8	23.79	22.65	21.50	0.084	0.050	0.051	0.035	1.09
A2255	93.988575	34.938221	258.14700	64.10530	17h12m35.3s	64:06:19.0	23.32	22.43	21.13	0.095	0.058	0.057	0.039	1.22
A2256	110.991055	31.758290	255.99600	78.62640	17h03m59.0s	78:37:35.1	23.30	22.39	21.40	0.181	0.104	0.108	0.075	1.59
A2271	110.028123	31.279399	259.55100	78.00560	17h18m12.2s	78:00:20.3	23.33	22.51	21.49	0.154	0.093	0.092	0.064	1.50
A2328	28.772354	-33.550982	312.04700	-17.80700	20h48m11.4s	-17:48:25.3	23.31	22.51	21.40	0.222	0.134	0.133	0.092	1.55
A2356	54.431008	-35.878758	323.93100	-0.16950	21h35m43.5s	-00:10:10.2	23.31	22.60	21.61	0.252	0.111	0.151	0.105	1.20
#A2384	33.384039	-48.429367	328.06200	-19.66250	21h52m14.8s	-19:39:45.0	22.87	22.36	20.62	0.120	0.072	0.072	0.050	1.71
A2399	49.759864	-44.478695	329.28200	-7.79597	21h57m07.8s	-07:47:45.5	23.34	22.51	21.25	0.136	0.081	0.081	0.056	1.35
A2410	48.037588	-46.573560	330.50800	-9.88825	22h02m01.9s	-09:53:17.7	23.14	22.42	20.96	0.161	0.092	0.096	0.067	1.53
A2415	53.939820	-45.099260	331.39700	-5.61081	22h05m35.2s	-05:36:38.9	22.95	22.53	21.68	0.243	0.143	0.145	0.101	1.30
A2420 	46.478224	-49.454457	332.58000	-12.18010	22h10m19.1s	-12:10:48.4	23.08	22.20	21.40	0.211	0.127	0.126	0.088	1.43
A2440	62.409455	-46.442331	335.98000	-1.64233	22h23m55.3s	-01:38:32.4	23.41	22.57	21.56	0.321	0.189	0.192	0.133	1.28
A2554	41.458363	-66.908019	348.20800	-21.57350	23h12m50.0s	-21:34:24.7	23.24	22.48	21.33	0.101	0.062	0.060	0.042	1.72
#A2556	41.351875	-66.966802	348.25400	-21.63190	23h13m00.9s	-21:37:55.0	na	na	na	0.104	0.000	0.062	0.043	na
A2593	93.490647	-43.173050	351.11000	14.67020	23h24m26.4s	14:40:12.6	23.14	22.07	21.16	0.160	0.098	0.096	0.066	1.42
A2597	65.344612	-64.857775	351.33700	-12.12830	23h25m20.9s	-12:07:41.8	23.43	22.55	21.45	0.108	0.065	0.065	0.045	1.78
A2626	100.456784	-38.413607	354.12400	21.16540	23h36m29.7s	21:09:55.5	23.13	22.36	21.14	0.235	0.137	0.141	0.098	1.16
A2657	96.732725	-50.267770	356.24800	9.19336	23h44m59.6s	09:11:36.1	22.82	21.95	20.04	0.462	0.272	0.276	0.192	1.24
A2670	81.304326	-68.503985	358.53100	-10.39870	23h54m07.4s	-10:23:55.2	22.97	22.22	21.11	0.157	0.097	0.094	0.065	1.37
CF2N14RF-CF113203.7+5101487	149.824022	61.689037	172.90000	51.06690	11h31m36.00s	51:04:01.00	na	22.77	na	0.079	0.000	0.047	0.033	1.10
CF3N51RIBF-CF082855+3725	184.483278	34.589829	127.13300	37.43670	08h28m32.00s	37:26:12.00	23.50	22.45	21.59	0.153	0.000	0.092	0.064	1.01
