Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval	Best_chi2	Best_pval
A0021	333.2570	8.0348e-51	368.8650	7.4801e-58	86.8070	1.6648e-06	MAB_chi2	MAB_pval
A0084	243.1730	1.9671e-33	228.6770	1.0437e-30	135.4970	4.6298e-14	BES_chi2	BES_pval
A0085	125.7210	1.8969e-12	171.4660	2.9160e-20	36.5190	3.5244e-01	MAB_chi2	BES_pval
A0098	288.5210	4.2148e-42	286.6010	9.9030e-42	74.6920	7.0140e-05	BBB_chi2	BBB_pval
A0154	214.0410	5.5192e-28	159.0600	4.4096e-18	76.0950	4.6282e-05	BBB_chi2	MAB_pval
A0168	177.6740	2.2933e-21	194.2380	2.3718e-24	73.1840	1.0905e-04	MAB_chi2	BBB_pval
A0399	246.5930	4.4408e-34	183.3000	2.2521e-22	78.1560	2.4908e-05	BBB_chi2	MAB_pval
A0401	801.9490	1.6062e-146	749.7120	1.2087e-135	1161.3270	5.4363e-222	BES_chi2	BES_pval
A0407	156.4390	1.2581e-17	206.7690	1.2120e-26	66.9500	6.3170e-04	MAB_chi2	BES_pval
A0415	194.3880	2.2279e-24	204.7070	2.9002e-26	48.5900	5.0122e-02	MAB_chi2	BES_pval
A0514	419.0230	7.3003e-68	366.1250	2.6147e-57	178.3740	1.7197e-21	BES_chi2	MAB_pval
A0629	305.4530	2.1954e-45	391.7700	2.0720e-62	192.6120	4.6825e-24	BES_chi2	BES_pval
A0646	333.3950	7.5503e-51	348.4730	8.1144e-54	189.9560	1.4187e-23	BES_chi2	BBB_pval
A0665	328.0350	8.5131e-50	211.0710	1.9533e-27	87.1530	1.4890e-06	BBB_chi2	MAB_pval
A0671	514.5450	3.4788e-87	323.3480	7.0528e-49	131.2220	2.3728e-13	BES_chi2	BBB_pval
A0690	289.1110	3.2425e-42	270.5930	1.1900e-38	115.6260	7.9611e-11	BES_chi2	BES_pval
A0957_11	352.1980	1.4918e-54	307.9410	7.1966e-46	152.4530	6.1494e-17	BES_chi2	BBB_pval
A0957_52	87.9300	1.1585e-06	157.7490	7.4542e-18	71.2150	1.9222e-04	BBB_chi2	BBB_pval
A1213	100.7760	1.5626e-08	102.3280	9.1246e-09	37.0610	3.2963e-01	MAB_chi2	BBB_pval
A1291	184.8880	1.1663e-22	200.2780	1.8788e-25	147.3980	4.5289e-16	BES_chi2	BES_pval
A1413	251.3850	5.4871e-35	179.3430	1.1538e-21	84.0460	4.0162e-06	BBB_chi2	MAB_pval
A1569	306.8450	1.1761e-45	315.5430	2.3691e-47	185.2950	9.8556e-23	BES_chi2	BES_pval
A1650	96.3610	7.0780e-08	133.4120	1.0291e-13	92.8160	2.3278e-07	BBB_chi2	MAB_pval
A1656	172.6060	1.8308e-20	169.4940	6.5102e-20	57.5620	7.0171e-03	BBB_chi2	BES_pval
A1775	146.3430	6.8540e-16	132.8510	1.2752e-13	68.1910	4.4935e-04	BBB_chi2	MAB_pval
A1795	243.2560	1.8977e-33	324.1940	4.8161e-49	128.1260	7.6716e-13	BES_chi2	BES_pval
A1913	264.5530	1.7044e-37	277.4140	5.8351e-40	219.4220	5.5482e-29	BES_chi2	BBB_pval
A1983	609.0360	1.5490e-106	708.0170	5.4927e-127	366.7550	1.9608e-57	BES_chi2	BBB_pval
A2029	431.3390	2.4503e-70	437.8270	1.2122e-71	214.9830	3.6953e-28	BES_chi2	BES_pval
A2244	407.8520	1.2659e-65	442.6480	1.2957e-72	86.0860	2.0983e-06	MAB_chi2	BES_pval
A2255	453.6530	7.8079e-75	429.8180	4.9560e-70	167.4520	1.4933e-19	BES_chi2	MAB_pval
A2256	1113.2450	7.6376e-212	789.2280	7.2006e-144	1120.3020	2.4789e-213	MAB_chi2	MAB_pval
A2271	659.6280	5.7115e-117	767.1160	2.8973e-139	272.7020	4.6907e-39	BES_chi2	MAB_pval
A2328	422.1600	1.7126e-68	370.9170	2.9286e-58	172.3310	2.0482e-20	BES_chi2	BBB_pval
A2356	838.7110	3.4181e-154	1014.4680	4.8707e-191	365.6480	3.2509e-57	BBB_chi2	BBB_pval
A2399	339.8230	4.1115e-52	403.9500	7.6400e-65	209.1180	4.4775e-27	BES_chi2	BBB_pval
A2410	273.5340	3.2469e-39	380.8430	3.1169e-60	291.1180	1.3262e-42	MAB_chi2	MAB_pval
A2415	429.4570	5.8566e-70	560.9450	1.1571e-96	176.4150	3.8458e-21	BES_chi2	MAB_pval
A2420	155.2420	2.0288e-17	332.3070	1.2348e-50	98.1220	3.8889e-08	MAB_chi2	BES_pval
A2440	274.9960	1.7014e-39	343.8380	6.6562e-53	85.8560	2.2585e-06	MAB_chi2	BBB_pval
A2554	257.7820	3.3363e-36	215.8220	2.5837e-28	101.9640	1.0357e-08	BES_chi2	MAB_pval
A2593	311.4740	1.4747e-46	301.5650	1.2512e-44	114.1550	1.3596e-10	BES_chi2	MAB_pval
A2597	345.8730	2.6426e-53	315.7460	2.1628e-47	215.3340	3.1810e-28	BES_chi2	BES_pval
A2626	131.6290	2.0322e-13	124.7410	2.7390e-12	29.3380	6.9550e-01	BBB_chi2	BES_pval
A2657	227.7830	1.5337e-30	191.8070	6.5563e-24	116.9450	4.9155e-11	BES_chi2	BBB_pval
A2670	148.2720	3.2103e-16	191.0850	8.8599e-24	171.4560	2.9276e-20	MAB_chi2	BBB_pval
CF2N14RF-CF113203.7+5101487	168.6080	9.3346e-20	229.5280	7.2333e-31	103.3090	6.4823e-09	BES_chi2	MAB_pval
