Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval	Best_chi2	Best_pval
A0021	372.3386	3.4820e-64	666.5867	2.6122e-125	110.0542	5.5175e-13	BES_chi2	BES_pval
A0084	245.4016	1.3437e-38	269.6900	2.0010e-43	119.0086	1.4565e-14	BES_chi2	BBB_pval
A0085	157.9142	1.1058e-21	266.2032	9.9248e-43	51.4952	9.1001e-04	MAB_chi2	BBB_pval
A0098	322.3699	5.1071e-54	416.3766	3.2381e-73	120.3496	8.4066e-15	BES_chi2	BES_pval
A0154	298.7355	3.0133e-49	409.7753	7.3755e-72	64.5351	1.4238e-05	MAB_chi2	BBB_pval
A0168	248.6639	3.0370e-39	155.5070	3.1193e-21	33.7620	0.0890	BBB_chi2	BBB_pval
A0399	197.6632	2.9602e-29	284.6300	2.0542e-46	81.8020	3.1332e-08	MAB_chi2	BES_pval
A0401	268.1154	4.1248e-43	287.2960	5.9970e-47	47.2257	0.0031	MAB_chi2	BBB_pval
A0407	1010.0826	6.4319e-198	1036.1405	1.8680e-203	516.2997	6.8426e-94	MAB_chi2	BES_pval
A0415	229.7404	1.6478e-35	311.5389	7.9053e-52	47.8509	0.0026	MAB_chi2	BBB_pval
A0514	265.3643	1.4585e-42	362.1838	4.1265e-62	46.5409	0.0038	MAB_chi2	BBB_pval
A0629	482.7352	6.3658e-87	487.1842	7.6105e-88	82.3312	2.5760e-08	MAB_chi2	BBB_pval
A0646	334.3604	1.8959e-56	504.8217	1.6621e-91	83.6001	1.6079e-08	MAB_chi2	MAB_pval
A0665	548.8723	1.1306e-100	685.0630	3.4287e-129	95.4297	1.7875e-10	MAB_chi2	BBB_pval
A0671	374.5426	1.2339e-64	417.2401	2.1509e-73	69.9795	2.2022e-06	MAB_chi2	BES_pval
A0690	389.9324	8.7242e-68	315.4217	1.2988e-52	95.3045	1.8764e-10	BBB_chi2	MAB_pval
A0957_11	320.2192	1.3913e-53	311.7178	7.2743e-52	68.6259	3.5239e-06	BBB_chi2	BBB_pval
A0957_52	347.8652	3.4140e-59	325.9741	9.5127e-55	98.4584	5.4965e-11	BBB_chi2	BBB_pval
A1213	141.3436	1.3194e-18	201.6126	5.0955e-30	69.8605	2.2954e-06	MAB_chi2	BBB_pval
