Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval	Best_chi2	Best_pval
A0021	393.1148	1.1840e-71	360.1372	8.1789e-65	264.5874	3.3935e-45	BES_chi2	BBB_pval
A0084	217.7155	9.8930e-36	173.4667	5.9478e-27	113.8721	1.5342e-15	BES_chi2	MAB_pval
A0085	155.5767	1.8307e-23	102.2481	2.0934e-13	49.9639	1.3267e-04	BBB_chi2	BBB_pval
A0098	166.7936	1.2035e-25	170.8788	1.9121e-26	71.8412	4.5338e-08	MAB_chi2	BES_pval
A0154	193.0073	8.3290e-31	105.6788	4.9552e-14	96.7927	2.0310e-12	BBB_chi2	MAB_pval
A0168	119.0918	1.6395e-16	176.4036	1.5770e-27	89.5701	3.9527e-11	MAB_chi2	BES_pval
A0399	259.0033	4.6250e-44	227.8975	8.9424e-38	176.4813	1.5226e-27	BES_chi2	BBB_pval
A0401	1487.1116	2.5844e-304	1463.0788	3.7235e-299	1894.6603	0.0000e+00	BBB_chi2	BBB_pval
A0407	158.7692	4.3987e-24	149.8590	2.3332e-22	105.8809	4.5507e-14	BES_chi2	BES_pval
A0415	120.1461	1.0416e-16	119.4477	1.4068e-16	49.7699	1.4168e-04	BBB_chi2	BES_pval
A0514	289.5881	2.7076e-50	235.0401	3.2608e-39	155.9852	1.5257e-23	BES_chi2	BBB_pval
A0629	239.6628	3.8088e-40	236.7506	1.4738e-39	186.2620	1.8008e-29	BES_chi2	MAB_pval
A0646	314.7449	1.8847e-55	250.3525	2.6257e-42	227.3673	1.1430e-37	BES_chi2	BBB_pval
A0665	427.8903	6.8121e-79	276.9038	1.0540e-47	261.4018	1.5067e-44	BES_chi2	MAB_pval
A0671	406.3700	2.0740e-74	321.5315	7.5822e-57	178.0711	7.4139e-28	BES_chi2	BBB_pval
A0690	364.9080	8.4143e-66	327.3897	4.7197e-58	211.6968	1.5842e-34	BES_chi2	MAB_pval
A0957_11	540.3297	1.8834e-102	511.6348	2.0198e-96	304.5941	2.2869e-53	BES_chi2	BES_pval
A0957_52	118.3474	2.2576e-16	156.7691	1.0752e-23	125.6149	9.8065e-18	MAB_chi2	BES_pval
A1213	169.5870	3.4229e-26	144.4133	2.6053e-21	129.2694	2.0043e-18	BES_chi2	MAB_pval
A1291	217.6171	1.0352e-35	245.8538	2.1367e-41	148.2589	4.7464e-22	BES_chi2	BES_pval
A1413	230.9657	2.1582e-38	247.4838	9.9996e-42	178.9919	4.8854e-28	BES_chi2	BBB_pval
A1569	375.5870	5.1522e-68	402.1265	1.5839e-73	302.8948	5.1021e-53	BES_chi2	MAB_pval
A1650	100.3018	4.7222e-13	149.3149	2.9708e-22	109.1554	1.1405e-14	MAB_chi2	MAB_pval
A1656	206.3364	1.8625e-33	282.3717	8.0749e-49	186.7262	1.4580e-29	BES_chi2	BBB_pval
A1775	235.2198	2.9998e-39	167.2954	9.6033e-26	97.0416	1.8320e-12	BBB_chi2	BBB_pval
A1795	279.9675	2.4997e-48	313.2047	3.9057e-55	315.2880	1.4576e-55	MAB_chi2	BBB_pval
A1913	609.8858	4.1348e-117	702.9592	8.4817e-137	588.8109	1.1573e-112	BES_chi2	BBB_pval
A1983	869.9905	2.7735e-172	1073.8825	8.7915e-216	688.9790	7.7680e-134	BBB_chi2	BBB_pval
A2029	512.3015	1.4633e-96	397.5839	1.3944e-72	327.3791	4.7435e-58	BES_chi2	BES_pval
A2244	387.3329	1.8813e-70	305.5660	1.4451e-53	142.2129	6.8841e-21	BES_chi2	BES_pval
A2255	319.7139	1.7934e-56	392.2081	1.8270e-71	289.3420	3.0403e-50	BES_chi2	BES_pval
A2256	1899.4894	0.0000e+00	1556.0381	0.0000e+00	1953.6610	0.0000e+00	BBB_chi2	MAB_pval
A2271	760.7467	4.6871e-149	674.6537	8.3882e-131	369.3978	9.8847e-67	BES_chi2	BES_pval
A2328	628.3554	5.1953e-121	617.0084	1.2958e-118	444.9805	1.8454e-82	BES_chi2	MAB_pval
A2356	2181.9072	0.0000e+00	1836.3237	0.0000e+00	2024.7314	0.0000e+00	BBB_chi2	MAB_pval
A2399	421.8892	1.2148e-77	521.0557	2.1217e-98	228.1304	8.0280e-38	BES_chi2	BES_pval
A2410	384.6229	6.8731e-70	488.8357	1.2260e-91	506.2958	2.6675e-95	MAB_chi2	MAB_pval
A2415	437.2331	7.6538e-81	487.6762	2.1456e-91	220.9762	2.1959e-36	BES_chi2	MAB_pval
A2420	300.3454	1.6996e-52	391.0324	3.2066e-71	179.9833	3.1173e-28	BES_chi2	BBB_pval
A2440	376.2833	3.6948e-68	412.8128	9.4526e-76	177.7035	8.7566e-28	BES_chi2	BBB_pval
A2554	250.9245	2.0109e-42	219.0946	5.2353e-36	208.5403	6.7661e-34	BES_chi2	BES_pval
A2593	193.5525	6.4936e-31	141.7554	8.4235e-21	128.0951	3.3408e-18	BES_chi2	BBB_pval
A2597	566.6673	5.3811e-108	470.9205	6.9421e-88	424.2073	3.9928e-78	BES_chi2	BBB_pval
A2626	83.5363	4.5353e-10	116.2520	5.5459e-16	50.6826	1.0393e-04	BBB_chi2	BBB_pval
A2657	160.5957	1.9425e-24	139.5754	2.2007e-20	74.1831	1.8301e-08	BBB_chi2	BBB_pval
A2670	151.4566	1.1471e-22	216.2092	1.9817e-35	200.3506	2.8997e-32	MAB_chi2	BES_pval
CF2N14RF-CF113203.7+5101487	254.6257	3.5751e-43	377.3329	2.2382e-68	272.6861	7.6288e-47	MAB_chi2	BES_pval
