Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval	Best_chi2	Best_pval
A0021	20.2737	0.0163	23.9520	0.0044	21.7787	0.0096	MAB_chi2	MAB_pval
A0084	16.5588	0.0561	23.9195	0.0044	18.8100	0.0269	MAB_chi2	MAB_pval
A0085	18.1553	0.0334	12.4600	0.1886	14.4227	0.1081	BBB_chi2	BBB_pval
A0098	18.7295	0.0276	33.4436	1.1176e-04	35.6691	4.5380e-05	MAB_chi2	BES_pval
A0154	19.1895	0.0236	14.9862	0.0913	17.8530	0.0369	BBB_chi2	BBB_pval
A0168	23.7050	0.0048	7.9989	0.5343	21.5836	0.0103	BES_chi2	BBB_pval
A0399	33.4812	1.1009e-04	23.9412	0.0044	14.2285	0.1144	BES_chi2	MAB_pval
A0401	49.0477	1.6260e-07	33.1042	1.2809e-04	30.3910	3.7632e-04	BES_chi2	BES_pval
A0407	344.4187	9.5468e-69	263.3533	1.5060e-51	228.6590	3.1523e-44	BES_chi2	MAB_pval
A0415	28.2883	8.5359e-04	27.5307	0.0011	1.5587	0.9967	BES_chi2	MAB_pval
A0514	27.3384	0.0012	20.8366	0.0134	23.0229	0.0061	BBB_chi2	BBB_pval
A0629	19.5930	0.0206	21.4541	0.0108	12.1525	0.2048	BES_chi2	BES_pval
A0646	46.2430	5.4278e-07	50.1367	1.0153e-07	33.8428	9.5169e-05	BES_chi2	BES_pval
A0665	14.3224	0.1113	15.1790	0.0861	36.8375	2.8135e-05	MAB_chi2	BES_pval
A0671	59.3271	1.8068e-09	51.7588	5.0208e-08	60.0067	1.3367e-09	BBB_chi2	BBB_pval
A0690	26.1705	0.0019	40.7949	5.4508e-06	9.4481	0.3970	MAB_chi2	BBB_pval
A0957_11	22.3357	0.0079	25.9250	0.0021	15.9720	0.0675	BES_chi2	BES_pval
A0957_52	22.2636	0.0081	28.4477	8.0265e-04	20.3115	0.0161	BES_chi2	BBB_pval
A1213	50.7219	7.8783e-08	32.7127	1.4984e-04	20.8045	0.0135	BES_chi2	MAB_pval
A1291	20.2726	0.0163	57.9931	3.2602e-09	22.0755	0.0086	MAB_chi2	BBB_pval
A1413	25.3459	0.0026	22.5227	0.0074	22.7249	0.0068	BBB_chi2	BBB_pval
A1569	42.7558	2.3898e-06	11.6754	0.2322	22.0573	0.0087	BBB_chi2	MAB_pval
A1650	15.4104	0.0803	18.5908	0.0289	11.7830	0.2258	BES_chi2	BES_pval
A1656	17.3339	0.0437	23.6213	0.0049	20.2361	0.0165	MAB_chi2	MAB_pval
A1775	8.6100	0.4740	14.8817	0.0942	28.4984	7.8707e-04	BBB_chi2	BES_pval
A1795	27.2180	0.0013	27.6072	0.0011	61.2500	7.6940e-10	MAB_chi2	BES_pval
A1913	22.2479	0.0081	28.2732	8.5859e-04	16.5945	0.0555	BES_chi2	BBB_pval
A1983	62.7050	4.0243e-10	60.5735	1.0393e-09	37.5312	2.1151e-05	BES_chi2	MAB_pval
A2029	33.3253	1.1721e-04	28.1581	8.9753e-04	11.9019	0.2189	BES_chi2	BBB_pval
A2244	39.7399	8.4687e-06	71.8548	6.5830e-12	28.5828	7.6179e-04	BES_chi2	MAB_pval
A2255	22.8860	0.0065	15.6507	0.0745	24.6728	0.0034	BBB_chi2	BBB_pval
A2256	22.2474	0.0081	45.5173	7.4005e-07	42.7177	2.4286e-06	MAB_chi2	BBB_pval
A2271	89.4088	2.1393e-15	65.9753	9.3180e-11	35.4213	5.0202e-05	BES_chi2	BBB_pval
A2328	37.9433	1.7844e-05	62.9886	3.5459e-10	11.6411	0.2343	BES_chi2	BBB_pval
A2356	71.6976	7.0687e-12	87.3896	5.4302e-15	32.6302	1.5486e-04	BES_chi2	MAB_pval
A2399	59.6294	1.5802e-09	31.6467	2.2915e-04	6.4851	0.6906	BBB_chi2	BBB_pval
A2410	53.7365	2.1186e-08	60.4140	1.1156e-09	27.3470	0.0012	BES_chi2	MAB_pval
A2415	76.6052	7.6117e-13	72.5860	4.7272e-12	20.8287	0.0134	BES_chi2	MAB_pval
A2420	48.0199	2.5322e-07	24.2995	0.0039	29.7775	4.7864e-04	BBB_chi2	BES_pval
A2440	9.8700	0.3611	25.4972	0.0025	30.9625	3.0045e-04	BBB_chi2	BES_pval
A2554	24.1718	0.0040	63.8891	2.3717e-10	30.8881	3.0940e-04	MAB_chi2	BES_pval
A2593	26.6499	0.0016	20.6977	0.0141	3.9502	0.9147	BBB_chi2	BES_pval
A2597	10.9596	0.2785	14.8837	0.0942	14.5265	0.1048	MAB_chi2	MAB_pval
A2626	75.8885	1.0549e-12	129.3364	1.6237e-23	28.0639	9.3070e-04	BBB_chi2	BES_pval
A2657	12.6831	0.1775	28.5377	7.7521e-04	50.9068	7.2707e-08	MAB_chi2	BBB_pval
A2670	15.4577	0.0791	34.6115	6.9753e-05	29.2261	5.9352e-04	MAB_chi2	BBB_pval
CF2N14RF-CF113203.7+5101487	14.2029	0.1153	6.2413	0.7155	18.3013	0.0318	MAB_chi2	BBB_pval
CF3N51RIBF-CF082855+3725	23.5805	0.0050	27.1977	0.0013	4.5744	0.8697	MAB_chi2	BES_pval
CFDN13RF-CF145242.6+2145071	73.1561	3.6505e-12	76.1265	9.4660e-13	23.3881	0.0054	BES_chi2	BBB_pval
CFDN14RF-CF082214.6+5206301	11.2865	0.2566	29.8706	4.6153e-04	8.1614	0.5180	MAB_chi2	BBB_pval
CFDN32RBF-CF030229-0047	49.4378	1.3738e-07	25.4919	0.0025	37.5512	2.0977e-05	BBB_chi2	BES_pval
CFDN34RBF-CF040219-0951	22.8954	0.0064	36.6809	3.0002e-05	20.1172	0.0172	BES_chi2	BBB_pval
CFDN51RIBF-CF013254+0115	32.9362	1.3701e-04	53.6336	2.2161e-08	40.1430	7.1584e-06	MAB_chi2	BES_pval
CFDN52RIBF-CF0152421214	8.7135	0.4641	31.4711	2.4568e-04	55.4575	9.9633e-09	BBB_chi2	BES_pval
