# Name	l	b	RA	Dec	RA_hms	Dec_dms	lim_B	lim_R	lim_I	ned_B	ned_R	ned_I	airmass
A0260	137.248169	-28.022056	27.9746	33.1633	01h51m53.9s	33:09:48	21.66	21.74	na	0.169	0.101	0.070	1.17
#A0262	162.186536	-10.964474	28.2100	36.1461	01h52m50.4s	36:08:46	na	na	na	na	na	na	na
A0634	159.396393	33.642118	123.6400	58.0478	08h14m33.7s	58:02:52	19.43	20.55	na	0.203	0.122	0.084	1.25
A0671	192.748287	33.109272	127.1220	30.4169	08h28m29.3s	30:25:01	na	22.33	na	0.172	0.103	0.071	1.07
A0779	191.064868	44.407464	139.9620	33.7714	09h19m50.8s	33:46:17	20.03	20.56	na	0.063	0.037	0.026	1.10
#A0999	254.990135	69.821494	155.8420	12.8467	10h23m22.1s	12:50:48	na	na	na	na	na	na	na
#A1016	297.897811	73.793934	156.7620	10.9781	10h27m03.0s	10:58:41	na	na	na	na	na	na	na
A1185	203.045643	67.751749	167.6990	28.6783	11h10m47.8s	28:40:42	na	21.69	na	0.104	0.062	0.043	1.39
A1367	234.797843	73.029538	176.1230	19.8392	11h44m29.5s	19:50:21	na	20.96	na	0.084	0.050	0.035	1.21
A1656	58.079109	87.957724	194.9530	27.9806	12h59m48.7s	27:58:50	na	21.55	na	0.030	0.018	0.012	1.13
A1837	329.270156	48.084807	210.4430	-11.1575	14h01m46.3s	-11:09:27	na	20.58	na	0.208	0.124	0.086	1.51
A1983	18.939828	60.115117	223.1830	16.7461	14h52m44.0s	16:44:46	na	21.89	na	0.096	0.057	0.040	1.17
A2022	43.297764	60.669625	226.0820	28.4228	15h04m19.7s	28:25:22	21.45	21.68	na	0.098	0.059	0.041	1.01
A2040	9.057077	51.165684	228.1880	7.4300	15h12m45.2s	07:25:48	na	21.95	na	0.166	0.099	0.069	1.18
A2052	9.393828	50.104679	229.1900	7.0003	15h16m45.5s	07:00:01	na	21.21	na	0.136	0.081	0.056	1.18
A2063	12.847719	49.71358	230.7570	8.6394	15h23m01.8s	08:38:22	na	21.95	na	0.125	0.075	0.052	1.23
A2151	31.587812	44.52159	241.3120	17.7486	16h05m15.0s	17:44:55	na	22.04	na	0.169	0.101	0.070	1.06
A2152	29.913567	44.017919	241.3430	16.4486	16h05m22.4s	16:26:55	21.48	21.82	na	0.145	0.087	0.060	1.25
#A2162	155.308315	-24.645099	243.1250	29.5397	16h12m30.0s	29:32:23	na	na	na	na	na	na	na
#A2197	176.067374	19.34663	247.0430	40.9072	16h28m10.4s	40:54:26	na	na	na	na	na	na	na
#A2199	177.900825	20.087935	247.1540	39.5244	16h28m37.0s	39:31:28	na	na	na	na	na	na	na
A2247	114.479643	31.219489	251.8420	81.5658	16h47m22.1s	81:33:57	21.53	21.49	na	0.230	0.137	0.095	1.56
A2354	37.695494	-43.053811	323.9600	-14.9092	21h35m50.4s	-14:54:33	na	22.01	na	0.222	0.133	0.092	1.57
A2593	93.495486	-43.207103	351.1290	14.6414	23h24m31.0s	14:38:29	na	21.75	na	0.160	0.096	0.066	1.09
A2634	103.453901	-33.063702	354.5770	27.0269	23h38m18.4s	27:01:37	21.32	20.96	na	0.254	0.152	0.105	1.00
#A2666	79.408326	-19.487364	357.7340	27.1447	23h50m56.2s	27:08:41	na	na	na	na	na	na	na
