Field	MAB_chi2	MAB_pval	BBB_chi2	BBB_pval	BES_chi2	BES_pval	GMD_chi2	GMD_pval
A0260	3738.471243594549	0.0	3972.033114204046	0.0	2997.512604525181	0.0	769.3277259093919	7.272998859189884e-158
A0634	2490.693479414614	0.0	2476.0843068330933	0.0	1918.1071994374622	0.0	447.0549414460372	6.097856033404228e-89
A0671	447.837671031728	4.155400602000011e-89	442.82123473120987	4.852922464615574e-88	235.3262063251838	3.2762251471316015e-44	1127.6337269877406	6.341409702965303e-235
A0779	1215.6567270581872	6.837151538960784e-254	1213.7696205941047	1.7443115753133203e-253	938.4936586258416	3.27579393873504e-194	133.82862999465658	2.9188442418248575e-23
A1185	124.81298086986291	1.9445686847896227e-21	100.06804565048454	1.7312814708451244e-16	58.434524812750865	1.8085952198484197e-08	453.87686762324097	2.1541652852680364e-90
A1367	244.6810145351679	3.6269338420469196e-46	255.82983935181772	1.6786966478509685e-48	194.88814458460106	8.539496077570777e-36	258.623521233449	4.359025141891491e-49
A1656	98.26490309451069	3.936689815814284e-16	124.53549875968179	2.21207912519041e-21	61.93430872986298	4.0454162902431825e-09	560.1047182286005	4.737346348318991e-113
A1837	6007.532600495372	0.0	5812.540836060498	0.0	4321.952903430239	0.0	459.1209372667179	1.647764158873222e-91
A1983	671.0454939752351	8.650892732071183e-137	756.0934947440617	5.031162457300306e-155	433.8785567222283	3.87430739590064e-86	514.4324088782689	2.6763464558498417e-103
A2022	881.7029144407462	5.3155587173147215e-182	916.5389564684917	1.7240823841605558e-189	588.4822838135852	4.0707492805747577e-119	145.49216877885766	1.2399051906656249e-25
A2040	2860.4227613132025	0.0	2806.5500854860898	0.0	1902.287994596046	0.0	1214.6912548228524	1.1040142167407224e-253
A2052	2429.115635706381	0.0	2496.0036125458414	0.0	1654.8599758213677	0.0	130.41269029228428	1.4362673113949192e-22
A2063	1856.7830838241607	0.0	2105.9318157675743	0.0	1337.5091240924737	3.642129593442159e-280	529.4725116439727	1.6509182080008084e-106
A2151	3398.8183597912284	0.0	3460.398868616158	0.0	2348.2208725387864	0.0	593.1911204745609	4.005769112440508e-120
A2152	2463.4978505838717	0.0	2637.67323171933	0.0	1748.5599873993272	0.0	159.7482262215169	1.50637508279056e-28
A2247	2236.4314731593245	0.0	2322.1633114266137	0.0	1659.3769684615268	0.0	196.8297979513192	3.38048577974652e-36
A2354	3748.1506049142004	0.0	3611.4127153729623	0.0	2341.7807502144547	0.0	539.8729761808256	9.934971032556226e-109
A2593	834.4754325942871	7.473592407587523e-172	940.7564761390723	1.0681896317826356e-194	605.4955904364123	9.349593684752449e-123	326.3652113725853	2.404021501259585e-63
A2634	3285.296755469533	0.0	3340.988321023918	0.0	2362.7511489385565	0.0	328.0352593312975	1.0671000588816649e-63
